,noticias,personas_detectadas
336,"Caso Putre, Ley Corta Isapres y más en Juntos y Revueltos con Leslie Nicholls y Jorge Gómez","['Ley Corta Isapres', 'Leslie Nicholls', 'Jorge Gómez']"
340,Al Pan Pan: Richard Kouyoumdjian e Iván Weissman sobre marcha en Putre y mercado del gas industrial,"['Richard Kouyoumdjian', 'Iván Weissman']"
343,"Caso Hermosilla: revocan prisión preventiva de exdirector de la PDI, Sergio Muñoz","['Caso Hermosilla', 'Sergio Muñoz']"
355,Juntos y Revueltos: Leo Jofré y Cristián Stewart sobre ley corta de isapres y justicia militar,"['Leo Jofré', 'Cristián Stewart']"
359,Al pan pan: Carmen Gloria Aravena y Paula Daza sobre justicia militar y ley corta de isapres,"['Carmen Gloria Aravena', 'Paula Daza']"
372,Juntos y Revueltos: Marco Moreno y Cristián Leporati sobre justicia militar y desaprobación a Boric,"['Marco Moreno', 'Cristián Leporati']"
376,Al Pan Pan: José Miguel Insulza y Cristián Cruz sobre ley antiterrorista y ley corta de isapres,"['José Miguel Insulza', 'Cristián Cruz']"
404,Al Pan Pan: Día Mundial de la Libertad de Prensa junto a Patricia Peña y Juan Diego Montalva,"['Patricia Peña', 'Juan Diego Montalva']"
418,Juntos y Revueltos: Marta Lagos y Clarisa Hardy sobre la utilidad de las Reglas del Uso de la Fuerza,"['Marta Lagos', 'Clarisa Hardy']"
419,Al Pan Pan: Kirsten Sehnbruch y Raúl Silva sobre calidad del empleo y leyes en seguridad,"['Kirsten Sehnbruch', 'Raúl Silva']"
437,Al Pan Pan: Richard Caifal y Cristián Riego sobre asesinato a Carabineros en Cañete,"['Richard Caifal', 'Cristián Riego']"
439,Juntos y Revueltos: Leo Jofré y Cristián Stewart sobre aplazamiento de formalización a Gral. Yáñez,"['Leo Jofré', 'Cristián Stewart', 'Gral. Yáñez']"
449,"Sentencian a 4 años de cárcel a Luis Castillo, uno de los indultados por el Presidente Boric","['Luis Castillo', 'Presidente Boric']"
451,Juntos y Revueltos: Marco Moreno y Cristian Leporati analizan sobre el asesinato de tres Carabineros,"['Marco Moreno', 'Cristian Leporati']"
452,Al Pan Pan: Francisco Ljubetic y Daniel Núñez sobre asesinato de Carabineros y reforma a política,"['Francisco Ljubetic', 'Daniel Núñez']"
459,Ministra Tohá confirmó que el general Ricardo Yáñez seguirá al mando de Carabineros,"['Ministra Tohá', 'Ricardo Yáñez']"
482,Al Pan Pan: Roberto Méndez y Juan Diego Montalva sobre Encuesta Bicentenario y Enade 2024,"['Roberto Méndez', 'Juan Diego Montalva', 'Encuesta Bicentenario']"
488,Ximena Fuentes es la nueva embajadora de Chile en Reino Unido tras polémica salida de Susana Herrera,"['Ximena Fuentes', 'Susana Herrera']"
491,Juntos y Revueltos: Marta Lagos y Clarisa Hardy abordaron lo que será la Enade 2024,"['Marta Lagos', 'Clarisa Hardy']"
492,Al Pan Pan: Gloria Hutt y Paul Fontaine sobre moción de censura y Enade 2024,"['Gloria Hutt', 'Paul Fontaine']"
504,JYR: Leslie Nicholls y Jorge Gómez sobre ratificación de Mario Desbordes para ir por Santiago,"['Leslie Nicholls', 'Jorge Gómez', 'Mario Desbordes']"
505,Al Pan Pan: Heraldo Muñoz e Iván Weissman sobre detención de asesino de mayor Sánchez y Enade 2024,"['Heraldo Muñoz', 'Iván Weissman']"
519,Juntos y Revueltos: Leo Jofré y Cristián Stewart analizan rechazo a la moción de censura,"['Leo Jofré', 'Cristián Stewart']"
522,Al Pan Pan: Diputado Jorge Durán y Gabriel Gaspar sobre rechazo a moción de censura y seguridad,"['Diputado Jorge Durán', 'Gabriel Gaspar']"
524,"Sara Concha y Francesca Muñoz: ""Las Iluminadas"" de la Cámara","['Sara Concha', 'Francesca Muñoz']"
538,Juntos y Revueltos: Marco Moreno y Cristián Leporati sobre censura contra mesa de la Cámara Baja,"['Marco Moreno', 'Cristián Leporati']"
539,Al Pan Pan: Gerardo Espíndola y José Pakomio sobre juicio a Los Gallegos y 40 horas semanales,"['Gerardo Espíndola', 'José Pakomio']"
563,Caso Factop: Rodrigo Topelberg les hará compañía a los Sauer en prisión,"['Caso Factop', 'Rodrigo Topelberg']"
569,"Juntos y Revueltos: Iván Weissman y Rodrigo Castillo en una nueva edición de ""Corea del Centro""","['Iván Weissman', 'Rodrigo Castillo']"
581,Juntos y Revueltos: Marta Lagos y Clarisa Hardy analizan la nueva directiva de la Cámara Baja,"['Marta Lagos', 'Clarisa Hardy']"
583,Al Pan Pan: Alfredo Moreno y Eric Aedo sobre relaciones con Venezuela y presidencia Cámara Baja,"['Alfredo Moreno', 'Eric Aedo']"
597,JYR: Leslie Nicholls y Jorge Gómez sobre desafíos de Karol Cariola en la testera de la Cámara Baja,"['Leslie Nicholls', 'Jorge Gómez', 'Karol Cariola']"
598,Al Pan Pan: Gilberto Aranda e Iván Weissman sobre tensión entre Irán e Israel y debate del litio,"['Gilberto Aranda', 'Iván Weissman']"
