,noticias,personas_detectadas
1999,"Aportes de Juan Sutil a campañas revelan dineros a FRVS, Natalia Piergentili y Republicanos                      
                    ","['Juan Sutil', 'Natalia Piergentili']"
2014,"Cineasta Sebastián Silva marcó distancia de su hermano Luis Silva y lo calificó como un ""peligro nacional""                      
                    ","['Sebastián Silva', 'Luis Silva']"
2024,"Esteban Paredes respondió ante críticas por apoyo a Jaime Ravinet: ""Mi libertad de expresión es igual que la del resto""                      
                    ","['Esteban Paredes', 'Jaime Ravinet']"
2026,"Sebastián Sichel critica a José Antonio Kast: ""Es una persona agresiva en público y privado""                      
                    ","['Sebastián Sichel', 'José Antonio Kast']"
2028,"[EN VIVO] Juan Antonio Coloma conversa con Matilde Burgos en un nuevo CNN Íntimo                      
                    ","['Juan Antonio Coloma', 'Matilde Burgos']"
2033,"Ximena Rincón muestra apoyo a candidatura de Juan Sutil al Consejo Constitucional: ""Necesitamos personas que sean moderadas""                      
                    ","['Ximena Rincón', 'Juan Sutil']"
2037,"Federica Sánchez y decisión de Alberto Fernández sobre reelección: ""Se baja porque no le dan los números""                      
                    ","['Federica Sánchez', 'Alberto Fernández']"
2038,"Ricardo Lagos respaldó a Jaime Ravinet para el Consejo Constitucional: ""Un hombre de acción capaz de ejecutar""                      
                    ","['Ricardo Lagos', 'Jaime Ravinet']"
2042,"Con Rodolfo Carter y Pamela Jiles: Franco Parisi se abre a competir en eventual primaria presidencial                      
                    ","['Rodolfo Carter', 'Pamela Jiles', 'Franco Parisi']"
2098,"Ministra Uriarte sobre Pamela Jiles: ""Le creímos y no cumplió, la consideramos de oposición""                      
                    ","['Ministra Uriarte', 'Pamela Jiles']"
2105,"Ministra Vallejo por dichos de Gonzalo de la Carrera: ""Son un retroceso en debates que entendíamos superados""                      
                    ","['Ministra Vallejo', 'Gonzalo de la Carrera']"
2131,"Exministra Vega fue sobreseída tras querella por el llamado de su asesora a Héctor Llaitul                      
                    ","['Exministra Vega', 'Héctor Llaitul']"
2183,"Franco Parisi: ""La economía se cae a pedazos"" debido a ""medidas merlucianas"" del Gobierno de Boric                      
                    ","['Franco Parisi', 'Gobierno de Boric']"
2235,"Tolerancia Cero, capítulo 40: Diego Schalper, Diego Ibáñez y Gonzalo Grebe                      
                    ","['Diego Schalper', 'Diego Ibáñez', 'Gonzalo Grebe']"
2259,"Presidente Boric aceptó la renuncia de su jefe de Gabinete, Matías Meza-Lopenhandía                      
                    ","['Presidente Boric', 'Matías Meza-Lopenhandía']"
2285,"Javier Macaya se querelló contra ""Pancho Malo"" por los delitos de sedición y daños                      
                    ","['Javier Macaya', 'Pancho Malo']"
2295,"Juan Guaidó advierte que eliminar su ""gobierno interino"" beneficiará a Nicolás Maduro                      
                    ","['Juan Guaidó', 'Nicolás Maduro']"
2301,"Iván Moreira acusa a Marta Herrera de ""mentir descaradamente"": ""Es una mala perdedora""                      
                    ","['Iván Moreira', 'Marta Herrera']"
2325,"Diputados Roberto Arroyo, Yovana Ahumada y Víctor Pino renuncian al Partido de la Gente                      
                    ","['Roberto Arroyo', 'Yovana Ahumada', 'Víctor Pino']"
2349,"Diputada Karol Cariola firma en apoyo de Cristina Fernández tras condena por seis años de cárcel                      
                    ","['Karol Cariola', 'Cristina Fernández']"
2424,"Catalina Pérez, vicepresidenta de la Cámara: ""Han tratado mal a Vlado Mirosevic""                      
                    ","['Catalina Pérez', 'Vlado Mirosevic']"
2469,"Ministra Uriarte responde a emplazamiento de De la Carrera: “Si lo desafueran van a ser sus colegas, porque yo no voto”                      
                    ","['Ministra Uriarte', 'De la Carrera']"
2480,"Presidente Boric por designación de Javier Velasco: ""El embajador de España no está por ser mi amigo""                      
                    ","['Presidente Boric', 'Javier Velasco']"
2483,"Diputado Oyarzo (PDG): ""El nombre de Vlado Mirosevic genera más acuerdos que Karol Cariola""                      
                    ","['Vlado Mirosevic', 'Karol Cariola']"
2487,"Gloria Hutt en Tolerancia Cero: ""Vlado Mirosevic es difícil de defender, es como Karol Cariola 2, es el rostro del Apruebo""                      
                    ","['Gloria Hutt', 'Vlado Mirosevic', 'Karol Cariola']"
2504,"Ximena Rincón, Matías Walker y Carlos Maldonado lanzan Demócratas: ""No queremos ser meros espectadores""                      
                    ","['Ximena Rincón', 'Matías Walker', 'Carlos Maldonado']"
2519,"Presidente Boric nombra a Mauricio Hurtado como embajador de Chile en China                      
                    ","['Presidente Boric', 'Mauricio Hurtado']"
2526,"""Ahora nos dejan plantados, p***, ¿qué onda?"": Así increpó Guillermo Ramírez a Diego Ibáñez tras reunión suspendida                      
                    ","['Guillermo Ramírez', 'Diego Ibáñez']"
2543,"Aquí Se Debate: Camila Flores, Diego Ibáñez y Joanna Pérez abordaron la contingencia nacional                      
                    ","['Camila Flores', 'Diego Ibáñez', 'Joanna Pérez']"
2578,"Aquí Se Debate: Mario Desbordes, Alejandra Sepúlveda y Felipe Harboe a 3 años del estallido social                      
                    ","['Mario Desbordes', 'Alejandra Sepúlveda', 'Felipe Harboe']"
2585,"""Después se quejan de que estamos como estamos"": Pablo Chill-E cuestionó participación de ""Pancho Malo"" en mesa paralela                      
                    ","['Pablo Chill-E', 'Pancho Malo']"
2588,"Brasil: Ataques entre Lula da Silva y Jair Bolsonaro se tensionan a dos semanas del balotaje                      
                    ","['Lula da Silva', 'Jair Bolsonaro']"
2627,"“Esto es republicanismo”: Los sorpresivos elogios de Evelyn Matthei a Nicolás Cataldo durante un punto de prensa                      
                    ","['Evelyn Matthei', 'Nicolás Cataldo']"
2640,"Elecciones en Convergencia Social: Diego Ibáñez y Miguel Bustamante compiten para presidir el partido                      
                    ","['Diego Ibáñez', 'Miguel Bustamante']"
2731,"Luis Maira y su amistad con el presidente Gabriel Boric: ""Aprendemos uno del otro""                      
                    ","['Luis Maira', 'Gabriel Boric']"
2736,"Ruth Hurtado asumirá presidencia subrogante del Partido Republicano tras salida de Rojo Edwards                      
                    ","['Ruth Hurtado', 'Rojo Edwards']"
2739,"Nicolás Cataldo llegó al Ministerio del Interior: Reemplazará a Miguel Crispi en la Subdere                      
                    ","['Nicolás Cataldo', 'Miguel Crispi']"
2751,"Francisco Chahuán y fallido nombramiento de Nicolás Cataldo: ""Creo que el presidente nos escuchó""                      
                    ","['Francisco Chahuán', 'Nicolás Cataldo']"
2757,"Critican al concejal Sebastián Keitel tras compartir meme burlándose de Izkia Siches                      
                    ","['Sebastián Keitel', 'Izkia Siches']"
2788,"Parlamentarios liderados por Carmen Hertz denuncian a Gonzalo de la Carrera ante Fiscalía                      
                    ","['Carmen Hertz', 'Gonzalo de la Carrera']"
2793,"Ministra Orellana tras agresiones de Gonzalo de la Carrera: ""No es una enfermedad, es ejercicio de machismo puro""                      
                    ","['Ministra Orellana', 'Gonzalo de la Carrera']"
2802,"Cadem: Gonzalo de la Carrera y Guillermo Teillier son las figuras políticas peores evaluadas                      
                    ","['Gonzalo de la Carrera', 'Guillermo Teillier']"
2818,"Flavia Torrealba y detención de Héctor Llaitul: ""Esperamos que sus derechos humanos sean observados y garatizados""                      
                    ","['Flavia Torrealba', 'Héctor Llaitul']"
2830,"Eduardo Durán (RN) pide a Gonzalo de la Carrera que ""se tranquilice"": ""Confío plenamente en el Servel""                      
                    ","['Eduardo Durán', 'Gonzalo de la Carrera']"
2839,"""Un poquito de respeto"": Carlos Gajardo responde a Alberto Plaza por detenidos desaparecidos en padrón electoral                      
                    ","['Carlos Gajardo', 'Alberto Plaza']"
2854,"Ernesto Ottone: ""Camila Vallejo argumenta mejor, tiene fuerza y, en ese sentido, hay una similitud con Gladys Marín”                      
                    ","['Ernesto Ottone', 'Camila Vallejo', 'Gladys Marín']"
2871,"Karol Cariola emplazó a Pamela Jiles: ""Deje de faltar a la verdad, por favor""                      
                    ","['Karol Cariola', 'Pamela Jiles']"
2941,"Presidente Boric viajará a Colombia para asunción de Gustavo Petro                      
                    ","['Presidente Boric', 'Gustavo Petro']"
2958,"""Reescribí algunos párrafos"": Jorge Correa Sutil explicó su participación en carta de Ricardo Lagos sobre el plebiscito                      
                    ","['Jorge Correa Sutil', 'Ricardo Lagos']"
2979,"Presidente Boric por ""Gabinete Irina Karamanos"": ""Está absolutamente superado y corregido""                      
                    ","['Presidente Boric', 'Gabinete Irina Karamanos']"
2981,"Carlos Gajardo por Gabinete Irina Karamanos: ""El problema es tener asesores con sueldos importantes sin preparación""                      
                    ","['Carlos Gajardo', 'Gabinete Irina Karamanos']"
2983,"""Yo no tendría cara"": El cruce entre Paulina Vodanovic y Katherine Martorell por su rol en la subsecretaría                      
                    ","['Paulina Vodanovic', 'Katherine Martorell']"
2994,"Ministra Vallejo respondió a Sebastián Piñera: ""Muy bien sabe que no basta con frases grandilocuentes o publicitarias""                      
                    ","['Ministra Vallejo', 'Sebastián Piñera']"
3001,"Jaime Naranjo y Carmen Hertz realizarán maratón lectora por la nueva Constitución                      
                    ","['Jaime Naranjo', 'Carmen Hertz']"
3019,"Presidente Boric sostendrá reunión bilateral con Joe Biden durante la Cumbre de las Américas                      
                    ","['Presidente Boric', 'Joe Biden']"
3027,"Luz Poblete y postura ante Rechazo de Felipe Kast: ""Espero que se pliegue a la decisión que tomemos en junio""                      
                    ","['Luz Poblete', 'Felipe Kast']"
3030,"Francisco Chahuán anuncia que esta tarde presentará querella contra Héctor Llaitul                      
                    ","['Francisco Chahuán', 'Héctor Llaitul']"
3032,"Gabriel Boric conversó con Emmanuel Macron: ""Como presidentes jóvenes, compartimos el desafío de dar lo mejor de nosotros""                      
                    ","['Gabriel Boric', 'Emmanuel Macron']"
3054,"Pamela Jiles, Johannes Kaiser y Maite Orsini integrarán Comisión de Ética de la Cámara                      
                    ","['Pamela Jiles', 'Johannes Kaiser', 'Maite Orsini']"
3098,"Sebastián Sichel: ""José Antonio Kast no va a ser nunca capaz de ganar una elección presidencial""                      
                    ","['Sebastián Sichel', 'José Antonio Kast']"
3100,"Senadora Núñez por Izkia Siches: ""Qué duda cabe de que no ha tenido un buen aterrizaje durante estos primeros 40 días""                      
                    ","['Senadora Núñez', 'Izkia Siches']"
3115,"Raúl Sohr y la alianza de Lula da Silva con la centroderecha: ""Tiene todas las de ganar""                      
                    ","['Raúl Sohr', 'Lula da Silva']"
3132,"A los 90 años falleció Mireya Baltra, ex diputada y ex ministra del Trabajo del gobierno de Salvador Allende                      
                    ","['Mireya Baltra', 'Salvador Allende']"
3173,"""No es gracioso"": Renato Garín acusó a la hija de Fernando Atria de usar su rostro en una piñata                      
                    ","['Renato Garín', 'Fernando Atria']"
3180,"Murió Patricia Poblete, ex ministra de Vivienda de Bachelet                      
                    ","['Patricia Poblete', 'Vivienda de Bachelet']"
3190,"Karol Cariola a Daniel Jadue: ""La ropa sucia se lava en casa""                      
                    ","['Karol Cariola', 'Daniel Jadue']"
3210,"""Nosotros (el PS) somos parte del Gobierno de Gabriel Boric"": Los 5 momentos de Álvaro Elizalde en Tolerancia Cero                      
                    ","['Gabriel Boric', 'Álvaro Elizalde']"
3220,"""Hay mucho cariño"": La desconocida amistad entre Rodrigo Delgado y Daniel Jadue                      
                    ","['Rodrigo Delgado', 'Daniel Jadue']"
3254,"Mamá de Boric destaca a Irina Karamanos: ""Ella no es sumisa y para mí, que soy una mujer rebelde, eso es importante""                      
                    ","['Mamá de Boric', 'Irina Karamanos']"
3259,"""La hicimos acá"": Alcalde Tamayo colocó foto no oficial de Gabriel Boric                      
                    ","['Alcalde Tamayo', 'Gabriel Boric']"
3285,  Daniel Jadue  La férrea defensa del PC a Daniel Jadue: “Es desproporcionada la prisión preventiva”,"['Daniel Jadue', 'Daniel Jadue']"
3286,  Patricio Morales  Diplomáticos de carrera critican designación de Patricio Morales como embajador en Uruguay: “Carece de experiencia en política exterior”,"['Patricio Morales', 'Patricio Morales']"
3288,  Daniel Jadue  Vallejo llama a “todos los partidos” a respetar la labor de la Justicia y los tribunales en el caso de Daniel Jadue ,"['Daniel Jadue  Vallejo', 'Daniel Jadue']"
3293,  Daniel Jadue  ¿Quién reemplazará a Daniel Jadue en la Municipalidad de Recoleta cuando el alcalde cumpla prisión preventiva? ,"['Daniel Jadue', 'Daniel Jadue']"
3294,  Daniel Jadue  El vaivén de Daniel Jadue: de candidato presidencial del PC a quedar en prisión preventiva imputado por delitos de corrupción ,"['Daniel Jadue', 'Daniel Jadue']"
3295,  Daniel Jadue  “Es injusta y desproporcionada”: miembros del PC lamentan prisión preventiva contra Daniel Jadue,"['Daniel Jadue', 'Daniel Jadue']"
3297,  Daniel Jadue  Lautaro Carmona y prisión preventiva para Daniel Jadue: “No es la medida cautelar que esperaba”,"['Daniel Jadue', 'Lautaro Carmona', 'Daniel Jadue']"
3301,  Gabriel Boric  Boric felicita a Claudia Sheinbaum por convertirse en la primera Presidenta de México,"['Gabriel Boric  Boric', 'Claudia Sheinbaum']"
3341,"  Cuenta Pública  “No señor, no mienta”: Presidente Boric encara a diputado Bobadilla (UDI) en medio de su tercera Cuenta Pública","['Presidente Boric', 'Cuenta Pública']"
3343,  Fabiola Campillai  El quiebre de la senadora Fabiola Campillai y el gobierno de Boric,"['Fabiola Campillai  El', 'Fabiola Campillai']"
3344,  Cuenta Pública  Diputada Helia Molina confirma que inasistencia de Michelle Bachelet a Cuenta Pública se debe a problemas de salud,"['Michelle Bachelet', 'Cuenta Pública']"
3352,  Daniel Jadue  Daniel Jadue al término de tercera jornada de formalización: “Vamos a esperar con calma lo que diga la jueza el lunes” ,"['Daniel Jadue', 'Daniel Jadue']"
3363,"  Gabriel Boric  “Agradecemos tu ejemplo de vida”: Boric lamenta muerte de Nora Cortiñas, cofundadora de Madres de Plaza de Mayo","['Gabriel Boric', 'Nora Cortiñas']"
3364,"  Cuenta pública  Presidentes del Congreso detallan preparativos para cuenta pública: asistirá Michelle Bachelet, pero no Cecilia Morel","['Michelle Bachelet', 'Cecilia Morel']"
3368,  Manuel Monsalve  Monsalve respalda a Juan Andrés Lagos en medio de pugna con el PC,"['Manuel Monsalve  Monsalve', 'Juan Andrés Lagos']"
3374,  Daniel Jadue  Daniel Jadue tras segunda jornada de formalización:  “Estoy muy contento con la exposición de mi defensa”,"['Daniel Jadue', 'Daniel Jadue']"
3378,  Daniel Jadue  Vallejo evita polemizar tras dichos de Monsalve contra militantes PC que se manifestaron a favor de Daniel Jadue ,"['Daniel Jadue  Vallejo', 'Daniel Jadue']"
3391,  Política  Diputados RN exigen salida de Juan Andrés Lagos de Interior tras participar en marcha de apoyo a Daniel Jadue durante su formalización,"['Juan Andrés Lagos de Interior', 'Daniel Jadue']"
3402,  Daniel Jadue  Monsalve y manifestaciones por formalización de Daniel Jadue: “La justicia no es para transformar a las fuerzas políticas en barras”,"['Daniel Jadue  Monsalve', 'Daniel Jadue']"
3403,  Daniel Jadue  “Desde el punto de vista político Daniel es inocente”: Lautaro Carmona acompaña a Jadue en su formalización,"['Daniel Jadue', 'Lautaro Carmona']"
3412,  Daniel Núñez  A horas de la formalización de Daniel Jadue: senador Núñez (PC) afirma que pedir su prisión preventiva “sería un acto absolutamente desproporcionado”,"['Daniel Núñez', 'Daniel Jadue']"
3416,  RN  Con “misión a cumplir” encomendada por Cecilia Morel: RN nombra su sede en memoria de Sebastián Piñera,"['Cecilia Morel', 'Sebastián Piñera']"
3417,  Evelyn Matthei  Postura de Matthei sobre reforma de pensiones divide a la derecha,"['Evelyn Matthei', 'Postura de Matthei']"
3441," Política  “Todos Juntos”: El nuevo proyecto que reúne a Alberto Mayol, Joaquín Lavín y Felipe Harboe","['Alberto Mayol', 'Joaquín Lavín', 'Felipe Harboe']"
3463,  Evelyn Matthei  La férrea defensa de Evelyn Matthei a Sebastián Sichel por críticas sobre “turismo electoral”,"['Evelyn Matthei', 'Evelyn Matthei', 'Sebastián Sichel']"
3470,  Sebastián Piñera  Canciller entrega libros de condolencias a familia del expresidente Sebastián Piñera ,"['Sebastián Piñera  Canciller', 'Sebastián Piñera']"
3494,  Galvarino Apablaza  El balance de la UDI tras viaje a Argentina por Galvarino Apablaza,"['Galvarino Apablaza', 'Galvarino Apablaza']"
3522,  Galvarino Apablaza  Directiva de la UDI viaja este domingo a Argentina para tratar extradición de Galvarino Apablaza con autoridades,"['Galvarino Apablaza  Directiva', 'Galvarino Apablaza']"
3539,"  Elecciones Municipales  Kast entrega apoyo al “delfín” de Rodolfo Carter en La Florida, Daniel Reyes","['Rodolfo Carter', 'Daniel Reyes']"
3544,  José Antonio Viera Gallo  Embajador José Antonio Viera-Gallo presenta cartas credenciales al Presidente argentino Javier Milei,"['José Antonio Viera Gallo  Embajador', 'José Antonio Viera-Gallo', 'Javier Milei']"
3569,  Sebastián Sichel  Sichel lanza dardos contra Emilia Ríos y afirma que un perfil como el suyo es más parecido al votante de Ñuñoa,"['Sebastián Sichel  Sichel', 'Emilia Ríos']"
3577,  Miguel Ángel Becker  Diputado Becker (RN) no da unanimidad para que Luis Thayer exponga en comisión de Gobierno Interior por Ley de Migraciones  ,"['Miguel Ángel Becker', 'Diputado Becker', 'Luis Thayer']"
3580,  Política  El lío que se armó en la oposición con la candidatura de Iván Poduje y las tratativas con Maximiliano Luksic,"['Iván Poduje', 'Maximiliano Luksic']"
3581,  Oposición  Diputado Jorge Durán (RN) rechaza “turismo electoral” y apunta contra candidaturas de Joaquín Lavín y Ruth Hurtado en Recoleta,"['Joaquín Lavín', 'Ruth Hurtado']"
3592,  Galvarino Apablaza  Los detalles del periplo de la UDI a Argentina por Galvarino Apablaza,"['Galvarino Apablaza', 'Galvarino Apablaza']"
3623,"  Javier Milei  Javier Milei por extradición de Galvarino Apablaza: “Somos un gobierno que decimos el que las hace, las paga”","['Javier Milei  Javier Milei', 'Galvarino Apablaza']"
3652,"  Gabriel Boric  Cita de Allende, reconocimiento a Bachelet y dardo a la derecha: así fue el cierre de la gira de Boric por O’Higgins","['Gabriel Boric', 'Cita de Allende']"
3669,  Gabriel Boric  Boric cita al comandante en jefe del Ejército a La Moneda por muerte de conscripto Franco Vargas en Putre ,"['Gabriel Boric  Boric', 'Franco Vargas']"
3732,  Camila Vallejo  Vallejo dice que “no se ve como buena señal” la postergación del juicio en caso de Francisca Sandoval,"['Camila Vallejo  Vallejo', 'Francisca Sandoval']"
3734, Gabriel Boric  Encaran a Presidente Boric en Conferencia del Día Mundial de Libertad de Prensa: pidieron justicia por Francisca Sandoval ,"['Gabriel Boric  Encaran', 'Presidente Boric', 'Francisca Sandoval']"
3746,  Gabriel Boric  Los temas (y las respuestas) que marcaron la entrevista del Presidente Boric con la Archi ,"['Gabriel Boric', 'Presidente Boric']"
3753,  Gabriel Boric  Oposición acusa demora del Presidente Boric en reconocer que indulto a Luis Castillo “fue un error”,"['Gabriel Boric  Oposición', 'Presidente Boric', 'Luis Castillo']"
3758,  Gabriel Boric  Presidente Boric reconoce que otorgarle indulto a Luis Castillo “fue un error” ,"['Gabriel Boric  Presidente Boric', 'Luis Castillo']"
3762,  Reglas de Uso de la Fuerza  El tenso ‘round’ entre las diputadas Camila Flores y Maite Orsini en redes sociales,"['Camila Flores', 'Maite Orsini']"
3764,  Barbara Figueroa  “Lo que uno espera es la prudencia”: Bárbara Figueroa (PC) pide dejar de lado especulaciones sobre crimen de carabineros en Cañete,"['Barbara Figueroa', 'Bárbara Figueroa']"
3773,  Partido Socialista  PS le llama la atención a Fidel Espinoza por conflicto con senadora Isabel Allende,"['Fidel Espinoza', 'Isabel Allende']"
3786,  Isabel Allende  Senadora Allende rechaza dichos de Fidel Espinoza sobre Maya Fernández: “Ha ofendido gravemente a nuestra familia”,"['Isabel Allende  Senadora Allende', 'Fidel Espinoza', 'Maya Fernández']"
3795,  Luis Castillo  Vallejo evita cuestionar indulto a Luis Castillo tras nueva sentencia: “Da cuenta de que nuestras instituciones funcionan”,"['Luis Castillo  Vallejo', 'Luis Castillo']"
3803,  Ximena Rincón  La crítica de Ximena Rincón al PC y Frente Amplio tras determinación de interrumpir semana regional en el Senado por proyectos de seguridad,"['Ximena Rincón  ', 'Ximena Rincón']"
3805,  Lautaro Carmona  Lautaro Carmona (PC) por triple homicidio en Cañete: “Nadie podría buscar justificar un atentado de esta dimensión”,"['Lautaro Carmona', 'Lautaro Carmona']"
3813,  Álvaro Carter  Diputado Álvaro Carter (UDI) se retira de responso en memoria de carabineros asesinados y acusa que el gobierno quiere “blanquear su imagen” ,"['Álvaro Carter  ', 'Álvaro Carter']"
3823,  Galvarino Apablaza  “Tiene estatus de refugiado”: abogado de Galvarino Apablaza descarta que gobierno de Milei pueda extraditar a exfrentista ,"['Galvarino Apablaza', 'Galvarino Apablaza']"
3826,  Ricardo Yáñez  Tras confirmación de su salida del cargo: RN reafirma apoyo a general Yáñez y cuestiona uso de “criterio Tohá” para Carabineros,"['Ricardo Yáñez', 'general Yáñez', 'criterio Tohá']"
3834,  Dayonis Orozco  Cancillería intensifica gestiones para acelerar extradición de Dayonis Orozco desde Colombia,"['Dayonis Orozco  Cancillería', 'Dayonis Orozco']"
3843,  Relaciones Exteriores  Tras polémica salida de Susana Herrera: Presidente Boric designa a exsubsecretaria Ximena Fuentes como embajadora en Reino Unido,"['Susana Herrera', 'Presidente Boric', 'Ximena Fuentes']"
3846,  Cecilia Morel  Cecilia Morel recuerda a Sebastián Piñera en Enade 2024: “Es muy simbólico para nosotros como familia estar aquí”,"['Cecilia Morel  Cecilia Morel', 'Sebastián Piñera']"
3863,  Camila Vallejo  Extradición de Dayonis Orozco: Vallejo dice que acuerdo con Colombia y nacionalidad del imputado debería agilizar el resultado ,"['Camila Vallejo  Extradición', 'Dayonis Orozco']"
3880,"  Mario Rozas  TC acoge a trámite recurso del exgeneral de Carabineros Mario Rozas, pero no suspende su formalización","['Mario Rozas  TC', 'Mario Rozas']"
3881,  Elecciones Municipales  Lo Barnechea: Marcela Cubillos se reúne ahora con Carlos Ward y enfatiza que apoyará a todas las cartas del sector ,"['Marcela Cubillos', 'Carlos Ward']"
3900,  Karol Cariola  Se cae la arremetida de la oposición: Cámara de Diputados rechaza censura a mesa de Karol Cariola (PC),"['Karol Cariola', 'Karol Cariola']"
3923,  Alberto Undurraga  “Excesivo personalismo” y “falta de diálogo de ambas partes”: las reacciones en la DC tras la renuncia de Carolina Leitao al partido,"['Alberto Undurraga  “Excesivo personalismo', 'Carolina Leitao']"
3927,  Mario Desbordes  “Es el candidato de Renovación Nacional”: Guillermo Ramírez (UDI) sostiene que Desbordes aún no es la carta de Chile Vamos para competir en Santiago,"['Mario Desbordes', 'Guillermo Ramírez']"
3928,  Lautaro Carmona  Lautaro Carmona (PC) se reúne en La Habana con el presidente del Parlamento cubano ,"['Lautaro Carmona', 'Lautaro Carmona']"
3950,  Camila Vallejo  “Vemos un giro”: Vallejo destaca disposición a colaborar de régimen de Maduro para esclarecer crimen de Ronald Ojeda    ,"['Camila Vallejo', 'Ronald Ojeda']"
3954,  Vlado Mirosevic  Vlado Mirosevic (PL): “El Presidente Boric no sucumbe a las presiones para tomar decisiones en política externa”,"['Vlado Mirosevic  Vlado Mirosevic', 'Presidente Boric']"
3959,  Ronald Ojeda  Viceministro de la Cancillería venezolana afirma que están prestando colaboración para esclarecer crimen de Ronald Ojeda,"['Ronald Ojeda  Viceministro de la Cancillería', 'Ronald Ojeda']"
3960,  Daniel Jadue  La versión de Daniel Jadue por la alerta que le impidió viajar a Venezuela: anuncia acciones legales y acusa “abuso brutal” ,"['Daniel Jadue', 'Daniel Jadue']"
3970,  PDG  Tribunal Supremo del PDG expulsa del partido al diputado Gaspar Rivas y Franco Parisi valora la medida,"['Gaspar Rivas', 'Franco Parisi']"
3971,  Cámara de Diputados  José Antonio Kast llama a aprobar censura a mesa liderada por Karol Cariola (PC): “Votar en contra es darle la razón a los comunistas”,"['José Antonio Kast', 'Karol Cariola']"
4012,"  Karol Cariola  Diputado Ilabaca (PS) y discurso de Karol Cariola: “Fue más hacia las bases del PC, y no hacia el país, ni hacia la Cámara” ","['Karol Cariola', 'Karol Cariola']"
4024,  Karol Cariola  “Una tremenda alegría”: oficialismo valora que se haya respetado acuerdo tras triunfo de Karol Cariola para presidir la Cámara,"['Karol Cariola', 'Karol Cariola']"
4025,"  Karol Cariola  Karol Cariola, nueva presidenta de la Cámara: “Ha caído un veto atávico, no solo anticomunista, también antidemocrático” ","['Karol Cariola', 'Karol Cariola']"
4026,  Karol Cariola  Tras llegada del PC a la presidencia de la Cámara: Lautaro Carmona celebra “justo y legítimo triunfo” de Karol Cariola,"['Karol Cariola', 'Lautaro Carmona', 'Karol Cariola']"
4028,  Karol Cariola  Por un voto: PC llega a la presidencia de la Cámara por primera vez en la historia de la mano de Karol Cariola,"['Karol Cariola', 'Karol Cariola']"
4032,  Hernán Larraín  Exministro Hernán Larraín insiste en que nunca recibió “una solicitud” de Hermosilla por nombramiento de jueces,"['Hernán Larraín', 'Exministro Hernán Larraín']"
4039,  Oposición  “No usar” la municipal como “trampolín para otra elección”: el mensaje de José Antonio Kast a Marcela Cubillos,"['José Antonio Kast', 'Marcela Cubillos']"
4043,  Venezuela  Excanciller Walker apunta a romper relaciones con Venezuela solo si existen “indicios” sobre participación del régimen de Maduro en el crimen de Ronald Ojeda,"['Excanciller Walker', 'Ronald Ojeda']"
4053,  Gabriel Boric  “Las tensiones y crisis entre los gobiernos siempre la terminan pagando los pueblos”: Presidente Boric condena ataques de Irán a Israel,"['Gabriel Boric', 'Presidente Boric']"
4060,  Carmen Hertz  Bancada de “Mujeres por la libertad” rechaza dichos de Carmen Hertz (PC) contra Chiara Barchiesi y emplazan a ministra de la Mujer a pronunciarse,"['Carmen Hertz', 'Carmen Hertz', 'Chiara Barchiesi']"
4065,"  Ronald Ojeda  Fiscal general de Venezuela confirma que Chile solicitó información de cinco personas, entre ellos del propio Ronald Ojeda","['Ronald Ojeda  Fiscal general de Venezuela', 'Ronald Ojeda']"
4081,  Gabriel Boric  “Afirmaciones irresponsables” y “grave insulto”: Boric insiste en críticas a Canciller de Venezuela tras llamado a consulta de embajador Gazmuri,"['Gabriel Boric', 'Canciller de Venezuela']"
4093,  Yván Gil  Vallejo descarta que el gobierno rompa relaciones diplomáticas con Venezuela por dichos de canciller Yván Gil ,"['Yván Gil  Vallejo', 'Yván Gil']"
4098,  Caso Hermosilla  Comisión investigadora por caso Audio invitará a Sebastián Sichel por contratos entre BancoEstado y Luis Hermosilla ,"['Caso Hermosilla', 'Sebastián Sichel', 'Luis Hermosilla']"
4101,"  Yván Gil  Quién es Yván Gil, el canciller de Venezuela que vuelve a polemizar con Chile al negar la existencia del Tren de Aragua ","['Yván Gil  Quién', 'Yván Gil']"
4127,  Michelle Bachelet  Cuando se la nombra “un frío gélido recorre la espalda de la derecha”: Eric Aedo apuesta por Bachelet para enfrentar la presidencial ,"['Michelle Bachelet', 'Eric Aedo']"
4140,"  Lautaro Carmona  Fuerte desmarque de Carmona a dichos de Hugo Gutiérrez: “La opinión del PC la entrega la dirección del partido, que encabezo yo”","['Lautaro Carmona  Fuerte', 'Hugo Gutiérrez']"
4147,  Evelyn Matthei  Matthei asegura que llamado a no votar por “uno que se fue con las mil firmas” no apuntaba a Marcela Cubillos,"['Evelyn Matthei  Matthei', 'Marcela Cubillos']"
4152,  Gonzalo Winter  Diputado Winter califica como “casi miserable” comparación de Hugo Gutiérrez sobre Maite Orsini y lo emplaza a disculparse,"['Hugo Gutiérrez', 'Maite Orsini']"
4170,  Felipe Ossandón  Felipe Ossandón inscribe en RN precandidatura para competir por la alcaldía de Puente Alto,"['Felipe Ossandón', 'Felipe Ossandón']"
4173,  Felipe Alessandri  Exsubsecretario Ubilla se suma al equipo de Felipe Alessandri (RN) para candidatura a alcalde en Lo Barnechea,"['Felipe Alessandri', 'Exsubsecretario Ubilla', 'Felipe Alessandri']"
